time,event,working,spares,broken,repair_queue,busy_repairers,good_machines
0.0,start,10,3,0,0,0,13
1.9471860169745714,failure,10,2,0,0,0,12
1.9471860169745714,repair_start,10,2,1,0,1,12
4.396109058031424,repair_finish,10,3,0,0,0,13
12.246987847080925,failure,10,2,0,0,0,12
12.246987847080925,repair_start,10,2,1,0,1,12
14.272847626552917,failure,10,1,1,0,1,11
14.272847626552917,repair_queue,10,1,2,1,1,11
15.199761735261186,repair_finish,10,2,1,1,0,12
15.199761735261186,repair_start,10,2,1,0,1,12
15.346451161533954,repair_finish,10,3,0,0,0,13
22.281447759477985,failure,10,2,0,0,0,12
22.281447759477985,repair_start,10,2,1,0,1,12
23.740459970766743,repair_finish,10,3,0,0,0,13
30.117746052578973,failure,10,2,0,0,0,12
30.117746052578973,repair_start,10,2,1,0,1,12
31.344853685030046,repair_finish,10,3,0,0,0,13
46.73137965896288,failure,10,2,0,0,0,12
46.73137965896288,repair_start,10,2,1,0,1,12
47.50296770099617,repair_finish,10,3,0,0,0,13
49.575511565162145,failure,10,2,0,0,0,12
49.575511565162145,repair_start,10,2,1,0,1,12
51.131175555693254,repair_finish,10,3,0,0,0,13
53.79230813456004,failure,10,2,0,0,0,12
53.79230813456004,repair_start,10,2,1,0,1,12
54.65454974778914,repair_finish,10,3,0,0,0,13
67.4111242815656,failure,10,2,0,0,0,12
67.4111242815656,repair_start,10,2,1,0,1,12
69.82475270624927,repair_finish,10,3,0,0,0,13
105.59563110287306,failure,10,2,0,0,0,12
105.59563110287306,repair_start,10,2,1,0,1,12
106.10964618200964,failure,10,1,1,0,1,11
106.10964618200964,repair_queue,10,1,2,1,1,11
110.49191577220054,repair_finish,10,2,1,1,0,12
110.49191577220054,repair_start,10,2,1,0,1,12
110.83791661667065,repair_finish,10,3,0,0,0,13
111.22712395153948,failure,10,2,0,0,0,12
111.22712395153948,repair_start,10,2,1,0,1,12
111.32841468283051,repair_finish,10,3,0,0,0,13
114.09769413715036,failure,10,2,0,0,0,12
114.09769413715036,repair_start,10,2,1,0,1,12
114.4153715147628,repair_finish,10,3,0,0,0,13
117.26026508420787,failure,10,2,0,0,0,12
117.26026508420787,repair_start,10,2,1,0,1,12
118.96112958798096,repair_finish,10,3,0,0,0,13
126.08301174704559,failure,10,2,0,0,0,12
126.08301174704559,repair_start,10,2,1,0,1,12
127.33834253462855,repair_finish,10,3,0,0,0,13
131.53308257031767,failure,10,2,0,0,0,12
131.53308257031767,repair_start,10,2,1,0,1,12
131.98759985814988,repair_finish,10,3,0,0,0,13
132.8796412134823,failure,10,2,0,0,0,12
132.8796412134823,repair_start,10,2,1,0,1,12
133.1168472311198,repair_finish,10,3,0,0,0,13
145.40603431332698,failure,10,2,0,0,0,12
145.40603431332698,repair_start,10,2,1,0,1,12
145.53814873814935,repair_finish,10,3,0,0,0,13
148.01127343198928,failure,10,2,0,0,0,12
148.01127343198928,repair_start,10,2,1,0,1,12
148.2254497841168,repair_finish,10,3,0,0,0,13
152.79227463767137,failure,10,2,0,0,0,12
152.79227463767137,repair_start,10,2,1,0,1,12
153.33306107837004,repair_finish,10,3,0,0,0,13
166.18012716231524,failure,10,2,0,0,0,12
166.18012716231524,repair_start,10,2,1,0,1,12
166.47397139629587,repair_finish,10,3,0,0,0,13
171.18229551054958,failure,10,2,0,0,0,12
171.18229551054958,repair_start,10,2,1,0,1,12
171.66921805634684,repair_finish,10,3,0,0,0,13
175.81341259280418,failure,10,2,0,0,0,12
175.81341259280418,repair_start,10,2,1,0,1,12
178.69582581755245,repair_finish,10,3,0,0,0,13
188.96302862136866,failure,10,2,0,0,0,12
188.96302862136866,repair_start,10,2,1,0,1,12
190.92009449085407,repair_finish,10,3,0,0,0,13
192.64356426035144,failure,10,2,0,0,0,12
192.64356426035144,repair_start,10,2,1,0,1,12
194.3248099851084,failure,10,1,1,0,1,11
194.3248099851084,repair_queue,10,1,2,1,1,11
194.42650025017983,repair_finish,10,2,1,1,0,12
194.42650025017983,repair_start,10,2,1,0,1,12
195.26199521701872,repair_finish,10,3,0,0,0,13
209.38381189957067,failure,10,2,0,0,0,12
209.38381189957067,repair_start,10,2,1,0,1,12
210.2144778599695,repair_finish,10,3,0,0,0,13
211.23229684016766,failure,10,2,0,0,0,12
211.23229684016766,repair_start,10,2,1,0,1,12
211.68804502906727,repair_finish,10,3,0,0,0,13
221.65075532883313,failure,10,2,0,0,0,12
221.65075532883313,repair_start,10,2,1,0,1,12
222.8682519475301,repair_finish,10,3,0,0,0,13
224.58707790563628,failure,10,2,0,0,0,12
224.58707790563628,repair_start,10,2,1,0,1,12
227.771001764572,repair_finish,10,3,0,0,0,13
232.69898137553145,failure,10,2,0,0,0,12
232.69898137553145,repair_start,10,2,1,0,1,12
235.38548108195022,repair_finish,10,3,0,0,0,13
236.38353787288833,failure,10,2,0,0,0,12
236.38353787288833,repair_start,10,2,1,0,1,12
237.40566244880628,repair_finish,10,3,0,0,0,13
241.24248501001838,failure,10,2,0,0,0,12
241.24248501001838,repair_start,10,2,1,0,1,12
242.27111615326965,repair_finish,10,3,0,0,0,13
243.95431107679826,failure,10,2,0,0,0,12
243.95431107679826,repair_start,10,2,1,0,1,12
244.67538948029875,repair_finish,10,3,0,0,0,13
258.42210011155834,failure,10,2,0,0,0,12
258.42210011155834,repair_start,10,2,1,0,1,12
258.58553383154526,repair_finish,10,3,0,0,0,13
278.1377042955406,failure,10,2,0,0,0,12
278.1377042955406,repair_start,10,2,1,0,1,12
279.29842544471234,repair_finish,10,3,0,0,0,13
283.37052933497773,failure,10,2,0,0,0,12
283.37052933497773,repair_start,10,2,1,0,1,12
283.3775721154882,repair_finish,10,3,0,0,0,13
298.01085127383885,failure,10,2,0,0,0,12
298.01085127383885,repair_start,10,2,1,0,1,12
298.1844729048445,repair_finish,10,3,0,0,0,13
309.5829659403373,failure,10,2,0,0,0,12
309.5829659403373,repair_start,10,2,1,0,1,12
309.6324059772066,repair_finish,10,3,0,0,0,13
334.8753023488702,failure,10,2,0,0,0,12
334.8753023488702,repair_start,10,2,1,0,1,12
335.11496942413766,repair_finish,10,3,0,0,0,13
361.63100344123757,failure,10,2,0,0,0,12
361.63100344123757,repair_start,10,2,1,0,1,12
362.64910498214596,repair_finish,10,3,0,0,0,13
381.119355684196,failure,10,2,0,0,0,12
381.119355684196,repair_start,10,2,1,0,1,12
381.1327135866178,repair_finish,10,3,0,0,0,13
382.75793107905315,failure,10,2,0,0,0,12
382.75793107905315,repair_start,10,2,1,0,1,12
384.2721620519572,repair_finish,10,3,0,0,0,13
388.35119187533763,failure,10,2,0,0,0,12
388.35119187533763,repair_start,10,2,1,0,1,12
388.3846848421004,failure,10,1,1,0,1,11
388.3846848421004,repair_queue,10,1,2,1,1,11
390.82136873100484,repair_finish,10,2,1,1,0,12
390.82136873100484,repair_start,10,2,1,0,1,12
390.981612188845,repair_finish,10,3,0,0,0,13
398.3524228763374,failure,10,2,0,0,0,12
398.3524228763374,repair_start,10,2,1,0,1,12
400.9653014914772,repair_finish,10,3,0,0,0,13
401.7100729449624,failure,10,2,0,0,0,12
401.7100729449624,repair_start,10,2,1,0,1,12
401.79076971454407,repair_finish,10,3,0,0,0,13
416.6890863406345,failure,10,2,0,0,0,12
416.6890863406345,repair_start,10,2,1,0,1,12
416.7875134847605,repair_finish,10,3,0,0,0,13
448.8740243491965,failure,10,2,0,0,0,12
448.8740243491965,repair_start,10,2,1,0,1,12
449.25594750285944,repair_finish,10,3,0,0,0,13
462.378299053432,failure,10,2,0,0,0,12
462.378299053432,repair_start,10,2,1,0,1,12
465.36020226431725,failure,10,1,1,0,1,11
465.36020226431725,repair_queue,10,1,2,1,1,11
466.08099771920644,repair_finish,10,2,1,1,0,12
466.08099771920644,repair_start,10,2,1,0,1,12
466.96926365985973,repair_finish,10,3,0,0,0,13
470.90142480139434,failure,10,2,0,0,0,12
470.90142480139434,repair_start,10,2,1,0,1,12
471.50315902162964,repair_finish,10,3,0,0,0,13
472.20603360708395,failure,10,2,0,0,0,12
472.20603360708395,repair_start,10,2,1,0,1,12
473.41863586848723,repair_finish,10,3,0,0,0,13
478.1295240564443,failure,10,2,0,0,0,12
478.1295240564443,repair_start,10,2,1,0,1,12
480.24977299626835,repair_finish,10,3,0,0,0,13
498.24353441723616,failure,10,2,0,0,0,12
498.24353441723616,repair_start,10,2,1,0,1,12
501.2146369956362,repair_finish,10,3,0,0,0,13
504.3162877276168,failure,10,2,0,0,0,12
504.3162877276168,repair_start,10,2,1,0,1,12
504.8123691298863,repair_finish,10,3,0,0,0,13
555.1074896060479,failure,10,2,0,0,0,12
555.1074896060479,repair_start,10,2,1,0,1,12
555.1242484040685,repair_finish,10,3,0,0,0,13
557.5815624148166,failure,10,2,0,0,0,12
557.5815624148166,repair_start,10,2,1,0,1,12
558.3969601352798,repair_finish,10,3,0,0,0,13
585.2269164625255,failure,10,2,0,0,0,12
585.2269164625255,repair_start,10,2,1,0,1,12
588.3459399205877,repair_finish,10,3,0,0,0,13
595.7962576172938,failure,10,2,0,0,0,12
595.7962576172938,repair_start,10,2,1,0,1,12
595.8735586852389,repair_finish,10,3,0,0,0,13
599.7573247571562,failure,10,2,0,0,0,12
599.7573247571562,repair_start,10,2,1,0,1,12
600.0166221228314,repair_finish,10,3,0,0,0,13
609.7900636245356,failure,10,2,0,0,0,12
609.7900636245356,repair_start,10,2,1,0,1,12
610.2860970426012,failure,10,1,1,0,1,11
610.2860970426012,repair_queue,10,1,2,1,1,11
610.8577548373117,repair_finish,10,2,1,1,0,12
610.8577548373117,repair_start,10,2,1,0,1,12
611.5662972999194,repair_finish,10,3,0,0,0,13
621.3679930830648,failure,10,2,0,0,0,12
621.3679930830648,repair_start,10,2,1,0,1,12
621.4901905237979,repair_finish,10,3,0,0,0,13
623.0417674630744,failure,10,2,0,0,0,12
623.0417674630744,repair_start,10,2,1,0,1,12
